"","pid","W1_Paranoia1","W1_Paranoia2","W1_Paranoia3","W1_Paranoia4","W1_Paranoia5","W1_Paranoia_Total","W1_Conspiracy_1","W1_Conspiracy_2","W1_Conspiracy_3","W1_Conspiracy_4","W1_Conspiracy_5","W1_Conspiracy_Total","W1_Religion_binary","W1_ReligiousBelief_Total","W1_ReligiousBelief1","W1_ReligiousBelief2","W1_ReligiousBelief3","W1_ReligiousBelief4","W1_ReligiousBelief5","W1_ReligiousBelief6","W1_ReligiousBelief7","W1_ReligiousBelief8","W1_ReligiousBelief2_R","W1_ReligiousBelief4_R","W1_ReligiousBelief6_R","W1_ReligiousBelief8_R","W1_Political_Scale","W1_Nationalism1","W1_Nationalism2","W1_Nationalism_Total","W1_Death_Anxiety_Total","W1_DAI1","W1_DAI2","W1_DAI3","W1_DAI4","W1_DAI5","W1_DAI6","W1_DAI7","W1_DAI8","W1_DAI9","W1_DAI10","W1_DAI11","W1_DAI12","W1_DAI13","W1_DAI14","W1_DAI15","W1_DAI16","W1_DAI17","W1_CRT1","W1_CRT2","W1_CRT3","W1_CRT4","W1_CRT5","W1_ReligiousBelief1_R","W1_ReligiousBelief3_R","W1_ReligiousBelief5_R","W1_ReligiousBelief7_R","W1_TotalCRT","W1_Gender","W1_Age_year","W1_Age_categories"
"1283",1491485181,1,3,2,1,3,10,6,9,11,9,11,46,1,26,2,3,3,2,3,2,3,2,3,4,4,4,4,4,5,9,64,1,1,3,4,5,5,5,5,5,5,3,5,5,3,3,3,3,2,2,2,4,3,4,3,3,3,0,2,40,3
"1284",1491485477,1,2,2,1,4,10,4,5,5,4,5,23,1,31,3,2,4,2,4,2,4,2,4,4,4,4,6,4,4,8,47,3,3,3,3,3,3,3,2,3,3,2,2,3,2,4,3,2,2,1,2,2,3,3,2,2,2,2,1,64,5
"1285",1491485763,1,3,4,3,3,14,8,8,7,8,8,39,0,34,4,3,5,2,5,2,5,2,3,4,4,4,3,3,3,6,49,2,3,2,4,2,2,3,2,4,3,4,2,3,4,2,4,3,1,1,1,2,2,2,1,1,1,5,1,49,4
"1286",1491485847,3,4,4,2,4,17,8,9,7,6,6,36,0,39,5,1,5,1,5,1,5,2,5,5,5,4,3,2,3,5,22,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,2,1,3,2,2,1,1,1,1,3,2,37,3
"1287",1491486053,1,1,1,1,1,5,6,9,2,6,7,30,1,21,3,5,3,2,2,4,3,3,1,4,2,3,5,3,3,6,47,3,2,2,4,3,2,2,4,4,3,2,2,3,2,3,3,3,2,2,1,4,3,3,3,4,3,1,1,63,5
"1288",1491486161,1,1,3,1,2,8,9,8,4,6,5,32,0,27,3,3,4,2,4,4,4,3,3,4,2,3,3,2,2,4,46,3,2,2,3,3,2,2,3,3,4,2,2,3,3,2,4,3,2,2,2,2,3,3,2,2,2,1,2,22,1
"1292",1491486771,1,1,1,1,1,5,6,7,6,6,6,31,1,16,3,5,1,5,1,3,5,5,1,1,3,1,7,3,3,6,48,3,3,4,3,3,4,4,5,1,5,1,2,1,1,3,4,1,2,3,2,4,3,3,5,5,1,0,2,33,2
"1294",1491486990,1,1,1,1,4,8,10,10,6,7,10,43,1,19,1,2,2,2,2,4,2,4,4,4,2,2,6,1,2,3,74,5,1,2,5,5,5,5,5,5,5,4,4,5,4,5,4,5,2,2,2,3,3,5,4,4,4,0,1,55,5
"1295",1491487220,2,2,4,1,4,13,8,11,11,10,10,50,1,28,4,4,3,1,2,1,2,1,2,5,5,5,5,3,4,7,52,2,2,2,3,4,4,3,5,4,3,1,4,3,2,4,5,1,1,1,1,2,3,2,3,4,4,4,1,63,5
"1297",1491487856,3,1,2,2,3,11,2,6,6,2,3,19,0,34,4,2,5,1,4,3,4,1,4,5,3,5,2,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,2,1,2,2,5,2,33,2
"1299",1491488164,3,1,3,1,1,9,11,11,7,8,11,48,1,17,1,5,3,1,2,4,2,5,1,5,2,1,5,5,5,10,50,3,1,5,2,5,5,2,5,2,5,2,2,1,1,5,3,1,2,2,2,2,3,5,3,4,4,1,1,46,4
"1300",1491488225,3,5,5,5,3,21,11,11,8,8,11,49,1,34,3,1,5,1,3,3,5,1,5,5,3,5,5,4,4,8,74,4,5,3,5,3,5,5,3,5,5,5,5,5,3,4,4,5,2,2,2,4,2,3,1,3,1,1,1,65,6
"1301",1491488284,3,5,5,5,5,23,6,6,6,6,6,30,1,26,3,5,5,3,5,3,3,3,1,3,3,3,5,5,5,10,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,4,2,3,1,1,3,1,2,33,2
"1302",1491488536,4,4,4,4,4,20,7,7,6,7,7,34,1,23,4,3,4,4,3,4,3,4,3,2,2,2,5,3,3,6,56,4,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,2,1,2,4,3,2,2,3,3,1,2,32,2
"1303",1491488569,1,1,1,1,4,8,6,8,6,6,6,32,1,17,2,5,1,3,1,2,1,2,1,3,4,4,10,5,5,10,49,1,1,4,4,4,3,4,5,4,4,1,3,3,1,3,3,1,2,2,2,4,3,4,5,5,5,0,2,49,4
"1304",1491488632,5,5,5,5,5,25,11,6,6,6,6,35,1,24,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,10,85,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,4,3,5,5,5,5,0,1,65,6
"1306",1491488721,1,1,1,1,1,5,7,9,11,7,8,42,0,34,4,2,5,1,5,5,5,1,4,5,1,5,3,2,1,3,64,3,4,4,5,5,5,5,5,5,5,1,3,5,1,2,2,4,2,4,2,2,3,2,1,1,1,1,2,36,3
"1308",1491489028,4,3,3,3,3,16,7,9,8,8,8,40,1,24,2,2,2,2,2,2,2,2,4,4,4,4,3,2,4,6,53,4,3,3,3,3,4,3,2,3,3,3,4,3,3,3,3,3,2,1,2,2,2,4,4,4,4,3,2,23,1
"1309",1491489121,1,1,1,1,3,7,6,7,5,5,4,27,1,17,1,5,1,2,1,3,4,4,1,4,3,2,8,5,3,8,38,1,2,2,5,3,2,1,3,3,1,3,1,2,1,3,2,3,2,1,2,4,3,5,5,5,2,1,1,72,6
"1310",1491489188,2,4,4,1,5,16,8,9,6,3,2,28,0,36,4,2,5,1,5,2,5,2,4,5,4,4,3,3,3,6,38,2,3,2,1,3,2,1,5,1,3,2,2,1,3,2,3,2,1,1,1,2,2,2,1,1,1,5,2,54,4
"1311",1491490019,3,2,3,2,4,14,6,8,6,2,3,25,0,24,3,3,3,3,4,3,3,4,3,3,3,2,5,4,3,7,42,3,2,3,3,5,2,3,3,2,3,1,2,2,1,3,3,1,2,1,1,4,2,3,3,2,3,3,1,24,1
"1312",1491490021,1,3,3,1,3,11,6,6,6,6,8,32,1,26,3,3,3,2,3,2,3,3,3,4,4,3,5,3,3,6,45,3,2,3,3,3,3,3,3,3,3,3,2,3,1,3,2,2,1,1,2,4,2,3,3,3,3,3,2,60,5
"1313",1491490087,4,4,4,4,4,20,8,9,9,9,8,43,1,23,3,3,3,3,3,4,3,3,3,3,2,3,5,5,5,10,40,3,3,3,3,3,3,3,5,1,1,1,1,1,1,2,3,3,2,2,2,4,3,3,3,3,3,0,2,56,5
"1316",1491490772,4,4,3,3,3,17,9,11,7,6,8,41,1,27,3,1,4,3,3,3,3,3,5,3,3,3,7,3,4,7,53,1,2,3,4,5,4,5,3,4,4,4,1,5,1,3,2,2,1,3,1,2,2,3,2,3,3,4,1,37,3
"1317",1491491084,3,3,3,3,3,15,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,4,1,3,3,3,3,0,2,33,2
"1318",1491491244,2,4,5,2,4,17,9,10,8,7,6,40,0,26,2,2,3,1,3,4,2,1,4,5,2,5,5,3,3,6,36,4,1,1,1,1,1,1,2,4,1,1,4,4,2,1,2,5,2,2,2,4,3,4,3,3,4,0,2,33,2
"1320",1491491544,1,3,3,1,3,11,5,4,6,5,7,27,1,29,3,2,3,2,4,2,4,3,4,4,4,3,5,3,3,6,50,2,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,2,1,1,4,2,3,3,2,2,3,2,57,5
"1321",1491492030,2,4,4,2,4,16,11,11,11,11,9,53,0,39,5,1,5,1,5,2,5,1,5,5,4,5,5,3,3,6,64,2,4,2,5,5,5,5,3,5,4,4,2,5,1,5,5,2,2,1,2,2,2,1,1,1,1,3,2,48,4
"1323",1491492075,1,3,2,2,3,11,9,7,8,6,6,36,0,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,4,7,63,4,3,4,4,4,4,4,5,4,4,2,4,3,4,5,3,2,1,2,1,4,2,3,3,3,3,3,2,47,4
"1324",1491492125,3,1,1,1,1,7,9,8,8,8,8,41,1,19,1,4,2,3,2,4,3,2,2,3,2,4,8,4,4,8,37,2,1,3,5,4,2,1,5,1,1,1,2,2,1,1,4,1,2,1,1,4,2,5,4,4,3,3,1,64,5
"1325",1491492537,2,3,2,1,1,9,9,7,2,2,7,27,0,31,3,2,5,1,4,3,3,2,4,5,3,4,4,3,3,6,35,2,2,2,2,2,1,2,3,3,2,1,2,2,3,2,2,2,2,2,2,2,2,3,1,2,3,2,1,41,3
"1326",1491492802,4,3,3,3,3,16,6,6,6,6,6,30,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,1,3,3,3,3,0,1,36,3
"1327",1491492806,2,3,3,2,4,14,6,7,8,9,8,38,1,20,3,5,3,2,1,3,2,3,1,4,3,3,3,4,4,8,35,2,1,3,2,3,2,2,3,2,2,2,1,2,3,2,2,1,2,2,2,2,3,3,3,5,4,1,1,32,2
"1330",1491493531,2,2,2,2,2,10,8,8,7,6,8,37,0,31,4,2,4,2,5,4,4,2,4,4,2,4,4,3,3,6,44,3,2,2,2,2,3,3,4,3,3,3,2,2,2,2,3,3,1,1,1,2,2,2,2,1,2,5,1,61,5
"1331",1491493584,2,2,4,3,4,15,7,7,7,6,6,33,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,42,2,3,2,3,3,2,2,4,3,3,2,2,2,2,2,3,2,2,2,2,4,2,3,3,3,3,1,2,30,2
"1332",1491493895,4,1,1,1,2,9,6,4,6,4,6,26,0,27,3,3,4,2,3,4,4,2,3,4,2,4,8,5,5,10,56,3,3,3,4,4,3,4,4,3,4,2,4,3,2,3,4,3,2,4,2,4,2,3,2,3,2,1,2,44,3
"1334",1491494125,3,2,2,3,3,13,6,6,6,6,6,30,0,24,3,3,4,4,4,3,2,3,3,2,3,3,5,2,3,5,56,3,3,2,3,4,4,4,3,2,3,3,4,5,4,3,3,3,2,2,2,2,3,3,2,2,4,1,2,27,2
"1336",1491494347,3,1,3,1,1,9,11,9,8,7,10,45,1,20,1,5,3,2,2,2,2,3,1,4,4,3,5,3,3,6,43,3,1,1,3,3,4,4,3,3,4,3,1,3,1,3,1,2,2,2,2,4,3,5,3,4,4,0,1,51,4
"1337",1491494469,3,3,3,3,3,15,8,7,7,8,8,38,0,32,3,2,3,1,3,1,5,2,4,5,5,4,5,3,3,6,29,2,1,1,1,1,1,1,3,1,1,3,3,1,3,1,2,3,2,2,1,2,3,3,3,3,1,2,2,63,5
"1339",1491495104,4,4,4,4,4,20,6,9,5,5,5,30,1,15,1,5,3,3,1,4,2,4,1,3,2,2,5,4,4,8,30,2,1,1,1,1,1,1,5,4,2,1,1,1,1,3,3,1,2,1,1,2,2,5,3,5,4,4,2,27,2
"1341",1491495278,1,4,2,3,3,13,6,7,7,6,6,32,0,32,3,3,4,1,5,2,4,2,3,5,4,4,7,4,3,7,18,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,3,2,1,2,2,2,29,2
"1342",1491495295,4,5,5,2,5,21,11,11,11,11,11,55,1,36,3,1,5,1,5,3,5,1,5,5,3,5,5,3,2,5,57,5,5,3,3,5,5,1,5,1,1,5,2,1,5,1,4,5,2,4,2,3,3,3,1,1,1,0,2,67,6
"1343",1491495487,4,2,2,2,2,12,5,5,5,5,8,28,1,25,4,3,3,3,3,3,3,3,3,3,3,3,6,4,5,9,79,4,4,4,5,5,4,5,5,4,5,5,5,5,4,5,5,5,2,4,4,4,3,2,3,3,3,0,2,68,6
"1347",1491496015,1,1,3,2,3,10,9,10,8,9,8,44,1,32,4,3,5,2,4,2,4,2,3,4,4,4,8,4,4,8,21,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,2,2,4,1,74,6
"1348",1491496239,2,4,1,1,1,9,7,8,6,6,6,33,1,27,3,3,4,4,5,2,4,4,3,2,4,2,6,5,4,9,36,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,4,3,3,2,1,2,0,2,23,1
"1349",1491496303,2,3,3,3,3,14,5,4,4,3,3,19,0,25,3,2,2,3,3,3,3,2,4,3,3,4,1,3,2,5,54,3,2,3,4,3,3,3,3,4,3,4,4,3,3,3,3,3,1,2,3,3,3,3,4,3,3,1,2,34,2
"1350",1491496449,3,4,2,1,3,13,8,6,6,6,6,32,1,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,7,55,4,3,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,2,2,2,4,2,3,3,3,3,1,2,52,4
"1352",1491496611,3,3,3,3,3,15,6,6,6,6,6,30,0,24,3,3,3,3,3,3,3,3,3,3,3,3,5,5,1,6,51,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,3,3,3,3,3,2,1,28,2
"1354",1491496898,4,3,3,3,3,16,8,7,7,6,7,35,0,30,3,2,4,2,4,2,3,2,4,4,4,4,5,3,3,6,59,3,3,3,5,4,4,4,3,4,4,2,4,3,3,4,3,3,1,1,2,4,2,3,2,2,3,3,2,46,4
"1355",1491496963,3,4,4,2,4,17,10,10,9,6,6,41,0,40,5,1,5,1,5,1,5,1,5,5,5,5,10,4,3,7,23,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,2,2,1,1,1,1,4,1,58,5
"1357",1491497182,1,2,2,1,4,10,11,10,6,2,5,34,0,35,4,3,5,1,5,1,5,3,3,5,5,3,1,1,1,2,42,4,1,3,2,2,2,2,4,2,3,3,2,2,1,2,4,3,2,1,1,2,2,2,1,1,1,4,2,66,6
"1359",1491497551,2,4,4,1,4,15,8,8,4,5,6,31,0,32,5,5,5,5,5,1,5,1,1,1,5,5,9,5,2,7,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,4,3,1,1,1,1,0,2,50,4
"1360",1491497555,1,1,4,1,3,10,10,11,10,6,9,46,0,37,3,1,5,1,5,2,5,1,5,5,4,5,6,3,5,8,20,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,2,3,4,2,3,1,1,1,1,1,77,6
"1361",1491497726,1,1,1,1,3,7,10,8,8,8,8,42,0,33,3,2,5,2,5,2,5,3,4,4,4,3,6,3,2,5,42,3,2,3,3,2,1,2,5,3,3,2,2,3,3,1,2,2,2,2,2,4,3,3,1,1,1,0,2,65,6
"1363",1491498525,3,5,3,4,3,18,11,11,9,9,9,49,0,34,2,2,5,1,5,3,5,1,4,5,3,5,5,3,2,5,73,2,4,4,5,5,5,4,5,5,5,4,5,5,4,3,4,4,2,2,2,2,3,4,1,1,1,1,2,23,1
"1364",1491498640,2,4,3,5,4,18,4,3,6,6,7,26,0,35,3,2,4,1,5,1,4,1,4,5,5,5,5,3,3,6,28,2,2,1,1,1,1,1,2,1,2,2,1,1,4,1,1,4,2,1,1,4,3,3,2,1,2,2,2,31,2
"1365",1491498822,3,3,2,1,3,12,8,5,6,7,6,32,1,25,3,3,3,3,3,2,3,3,3,3,4,3,5,3,3,6,53,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,2,1,2,4,3,3,3,3,3,1,2,75,6
"1366",1491499042,3,1,3,1,1,9,11,6,7,10,11,45,1,28,1,3,4,1,3,1,3,2,3,5,5,4,5,3,3,6,36,3,1,4,1,4,1,1,3,3,1,3,1,1,1,5,2,1,1,1,1,2,2,5,2,3,3,5,2,59,5
"1368",1491499300,4,3,3,3,3,16,6,8,8,6,6,34,0,30,2,2,4,2,4,2,4,2,4,4,4,4,4,3,2,5,55,3,2,2,4,3,3,4,2,4,4,3,4,3,3,4,4,3,2,2,2,4,3,4,2,2,2,0,2,28,2
"1369",1491499353,1,1,1,1,3,7,8,7,7,5,6,33,1,28,3,3,3,1,3,1,3,3,3,5,5,3,5,1,2,3,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,2,3,3,3,3,3,2,52,4
"1372",1491499819,4,3,2,1,3,13,6,6,6,6,6,30,1,29,3,3,4,1,3,2,3,2,3,5,4,4,5,3,3,6,54,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,2,2,2,2,2,3,2,3,3,2,1,40,3
"1374",1491499921,3,3,3,3,3,15,6,6,6,6,6,30,0,24,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,8,57,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,2,2,2,4,3,3,3,3,3,0,2,26,2
"1376",1491500283,1,3,3,1,3,11,8,9,7,4,2,30,0,29,3,2,5,1,5,5,5,5,4,5,1,1,6,4,4,8,64,2,1,4,5,4,4,5,5,5,5,4,3,3,3,4,4,3,2,3,3,4,3,3,1,1,1,0,2,73,6
"1377",1491500643,3,1,3,1,5,13,9,7,5,9,8,38,0,35,5,2,5,1,5,4,5,2,4,5,2,4,6,4,3,7,49,3,2,4,2,4,3,3,4,2,2,3,2,2,2,4,4,3,1,1,1,2,2,1,1,1,1,5,1,72,6
"1378",1491500691,1,3,3,3,5,15,6,6,6,6,6,30,0,28,3,3,3,3,5,3,3,1,3,3,3,5,5,3,3,6,21,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,2,2,2,4,3,3,3,1,3,0,1,47,4
"1379",1491500759,3,3,3,3,3,15,6,6,6,6,6,30,0,24,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,6,57,3,3,3,3,4,4,4,4,3,2,3,4,4,3,3,3,4,2,1,2,2,2,3,3,3,3,3,2,25,2
"1380",1491501012,1,1,1,1,1,5,6,7,8,7,8,36,0,24,3,4,2,1,2,1,3,4,2,5,5,2,5,2,4,6,43,3,2,4,2,3,2,2,5,2,2,2,2,2,2,3,3,2,2,1,2,4,2,3,4,4,3,2,2,23,1
"1381",1491501148,1,2,3,4,5,15,11,6,11,6,5,39,0,36,5,3,3,1,5,1,5,1,3,5,5,5,7,3,3,6,24,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,3,1,2,1,1,2,2,1,3,1,1,4,1,27,2
"1383",1491501355,1,5,4,3,5,18,9,8,7,7,7,38,1,18,1,2,1,4,2,5,4,3,4,2,1,3,3,4,3,7,29,1,3,2,3,3,2,2,1,1,1,2,2,1,1,1,2,1,2,4,3,4,2,5,5,4,2,1,1,39,3
"1385",1491501892,1,1,1,1,4,8,6,6,6,6,6,30,1,25,2,2,3,2,3,3,2,2,4,4,3,4,8,4,4,8,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,3,4,5,1,69,6
"1386",1491501913,2,2,2,1,3,10,7,7,8,7,7,36,1,24,3,3,3,2,3,3,3,4,3,4,3,2,5,3,3,6,34,1,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,3,3,3,3,2,68,6
"1388",1491502156,3,3,4,2,2,14,4,5,6,7,6,28,1,24,2,2,3,3,4,4,3,3,4,3,2,3,4,2,3,5,49,2,2,3,4,4,3,3,2,2,3,3,4,4,3,3,2,2,2,1,2,2,2,4,3,2,3,3,2,38,3
"1389",1491502270,1,3,3,3,3,13,6,9,3,3,3,24,1,36,3,2,5,2,5,1,5,1,4,4,5,5,6,4,4,8,34,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,3,3,1,1,1,0,1,53,4
"1391",1491502366,3,5,4,1,5,18,8,9,9,6,7,39,1,26,3,3,4,2,3,4,4,3,3,4,2,3,5,1,2,3,31,1,1,3,2,3,1,1,3,3,2,1,3,2,1,1,2,1,2,4,2,4,3,3,2,3,2,0,2,36,3
"1393",1491502781,1,5,3,3,5,17,11,11,11,11,11,55,0,38,4,1,5,1,5,2,5,1,5,5,4,5,5,3,3,6,67,3,2,3,4,4,5,5,1,5,5,5,5,5,3,5,2,5,2,1,3,3,3,2,1,1,1,1,2,44,3
"1395",1491503024,3,2,2,2,2,11,9,9,9,9,9,45,1,13,1,4,2,4,1,4,1,4,2,2,2,2,3,4,4,8,24,2,1,1,4,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,2,2,5,4,5,5,4,1,71,6
"1396",1491503141,1,4,4,3,5,17,9,11,7,7,6,40,1,15,1,4,2,3,1,5,2,3,2,3,1,3,4,4,4,8,32,1,1,3,1,1,2,1,2,1,2,3,1,2,4,2,2,3,2,2,2,4,3,5,4,5,4,0,1,44,3
"1397",1491503306,3,3,2,1,1,10,3,3,2,2,3,13,1,20,2,4,2,2,1,3,2,2,2,4,3,4,8,4,4,8,42,4,1,1,1,1,1,1,5,4,4,3,1,4,2,2,3,4,1,2,1,4,2,4,4,5,4,3,1,64,5
"1399",1491503565,4,3,3,4,3,17,6,6,6,6,7,31,0,24,4,4,4,4,4,4,4,4,2,2,2,2,5,4,4,8,48,3,4,3,3,3,4,4,4,3,2,2,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2,1,2,34,2
"1402",1491503941,3,2,1,1,1,8,8,8,8,7,9,40,1,21,3,4,4,2,2,4,2,4,2,4,2,2,2,2,4,6,61,4,2,4,4,4,3,4,4,4,4,4,2,2,4,5,5,2,2,2,3,2,2,3,2,4,4,2,1,65,6
"1405",1491504705,2,3,3,2,2,12,7,6,5,3,6,27,1,26,3,4,4,1,3,3,3,3,2,5,3,3,4,2,3,5,64,4,2,3,5,5,3,3,5,4,5,4,5,3,2,2,5,4,1,2,3,4,3,3,2,3,3,1,2,30,2
"1406",1491504948,1,2,2,1,3,9,7,7,8,7,6,35,0,38,4,1,5,1,5,2,5,1,5,5,4,5,5,3,3,6,39,2,1,2,2,2,2,2,4,2,2,1,2,2,4,5,3,1,2,1,1,2,2,2,1,1,1,4,2,38,3
"1408",1491505466,1,3,2,1,2,9,6,6,6,6,6,30,0,32,3,2,4,1,4,2,4,2,4,5,4,4,5,3,3,6,55,3,2,2,3,4,4,3,5,3,4,2,4,3,4,4,3,2,2,2,2,2,2,3,2,2,2,2,2,36,3
"1409",1491505694,3,4,2,4,4,17,7,7,5,2,8,29,1,24,2,4,4,3,4,3,4,4,2,3,3,2,7,1,2,3,64,3,4,2,3,3,4,5,3,4,4,5,4,4,4,4,4,4,2,2,3,3,2,4,2,2,2,1,1,37,3
"1410",1491505805,1,1,2,1,2,7,10,9,9,7,7,42,1,33,3,1,4,1,5,2,3,2,5,5,4,4,5,3,3,6,44,2,2,1,3,3,3,2,3,2,4,2,3,2,2,5,3,2,2,1,2,4,3,3,2,1,3,1,2,34,2
"1411",1491506140,1,1,1,1,1,5,11,11,8,10,11,51,0,37,5,2,5,1,5,2,5,2,4,5,4,4,1,3,3,6,19,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,3,1,51,4
"1412",1491506225,1,1,4,1,4,11,11,11,11,6,9,48,0,38,5,1,5,1,5,3,5,1,5,5,3,5,5,3,4,7,42,1,1,1,4,4,2,2,1,5,2,2,1,4,2,4,5,1,2,1,2,2,2,1,1,1,1,3,1,45,4
"1413",1491506234,3,3,3,3,3,15,9,7,7,6,7,36,0,24,4,4,4,4,4,4,4,4,2,2,2,2,5,2,2,4,56,5,4,2,3,3,2,4,3,3,4,4,3,3,3,4,3,3,2,2,2,2,3,2,2,2,2,1,2,33,2
"1414",1491506237,3,3,3,3,3,15,6,6,6,6,6,30,1,25,3,3,4,3,3,3,3,3,3,3,3,3,5,3,3,6,45,3,3,3,3,3,2,4,4,2,2,4,2,2,2,2,2,2,2,2,3,4,3,3,2,3,3,0,1,33,2
"1415",1491506356,1,1,1,1,2,6,9,8,7,8,6,38,1,15,1,4,3,2,1,5,1,4,2,4,1,2,9,2,4,6,23,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,2,3,2,3,2,4,2,5,3,5,5,1,2,80,6
"1416",1491506650,2,4,4,1,4,15,7,5,8,3,3,26,1,29,4,3,4,2,4,3,4,3,3,4,3,3,5,3,3,6,26,2,2,2,2,2,1,1,2,1,1,1,2,1,1,1,3,1,2,1,1,2,2,2,2,2,2,4,2,31,2
"1417",1491506660,1,4,4,3,2,14,10,10,10,10,10,50,1,31,2,2,4,1,3,1,3,1,4,5,5,5,6,5,5,10,43,4,2,3,4,3,2,3,3,4,3,1,2,2,2,1,2,2,2,2,2,4,3,4,2,3,3,0,2,61,5
"1418",1491506895,1,1,1,1,1,5,11,9,7,10,11,48,1,35,5,2,4,1,4,2,4,1,4,5,4,5,7,3,4,7,39,4,1,3,2,1,1,2,3,1,2,1,3,1,3,5,4,2,2,2,2,4,3,1,2,2,2,0,2,54,4
"1419",1491507796,3,2,3,3,2,13,3,6,7,6,3,25,0,27,4,3,4,3,4,3,4,4,3,3,3,2,3,3,3,6,45,4,3,2,3,3,2,3,2,3,2,3,2,2,2,3,3,3,2,2,2,4,4,2,2,2,2,0,2,24,1
"1420",1491507866,1,4,4,2,5,16,5,9,5,6,5,30,0,36,4,1,5,2,5,1,4,2,5,4,5,4,5,3,3,6,22,1,1,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,2,2,2,2,3,2,1,1,2,1,2,27,2
"1421",1491508134,1,2,2,1,2,8,5,9,1,1,2,18,0,37,4,2,5,1,5,2,5,1,4,5,4,5,5,4,4,8,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,3,2,2,2,1,1,1,2,1,48,4
"1422",1491508715,1,1,1,1,2,6,5,7,8,9,9,38,1,23,2,2,1,2,2,2,2,2,4,4,4,4,9,1,1,2,44,4,1,1,1,2,2,1,5,2,2,1,2,4,4,5,5,2,1,1,4,2,2,4,5,4,4,4,2,49,4
"1423",1491508734,4,2,2,2,4,14,7,7,7,7,7,35,1,24,2,2,2,2,2,2,2,2,4,4,4,4,5,4,4,8,56,5,5,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,3,4,4,4,4,0,2,48,4
"1424",1491509069,3,3,3,2,3,14,6,7,6,6,6,31,0,26,4,3,3,3,4,3,3,3,3,3,3,3,5,4,4,8,57,2,3,3,3,4,4,3,3,3,4,4,3,3,2,5,3,5,2,2,2,4,2,2,3,2,3,1,1,48,4
"1425",1491509341,4,2,3,2,3,14,7,5,6,6,8,32,1,24,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,10,33,2,2,2,3,4,2,2,2,2,2,2,2,2,1,1,1,1,2,1,3,4,2,3,3,3,3,2,2,44,3
"1426",1491509611,3,4,4,1,4,16,4,10,3,3,6,26,1,13,1,5,2,2,1,5,2,5,1,4,1,1,6,3,3,6,30,2,1,1,3,2,1,1,4,3,2,1,1,1,2,1,2,2,2,1,1,4,2,5,4,5,4,3,1,56,5
